Clave,AREA_M,AREA_KM
11_3_1_1028,295756.60940600000,0.29575700000
11_3_1_1066,83225.91889200000,0.08322590000
11_3_1_1051,45531.09563150000,0.04553110000
11_3_1_1009,53351.73500040000,0.05335170000
11_3_1_0566,161359.88044300000,0.16136000000
11_3_1_0975,78681.59553340000,0.07868160000
11_3_1_0072,366198.49514800000,0.36619900000
11_3_1_0087,462575.24606400000,0.46257500000
11_3_1_0405,388894.10296500000,0.38889400000
11_3_1_0602,24335.90663300000,0.02433590000
11_3_1_0617,9389.24443650000,0.00938924000
11_3_1_0640,8321.57684408000,0.00832158000
11_3_1_066A,20750.47659700000,0.02075050000
11_3_1_034A,359774.21492000000,0.35977400000
11_3_1_0373,398635.02501500000,0.39863500000
11_3_1_0388,318912.03650700000,0.31891200000
11_3_1_0890,327072.13543500000,0.32707200000
11_3_1_0509,117064.84474600000,0.11706500000
11_3_1_0513,8127.49631497000,0.00812750000
11_3_1_0528,159776.54738100000,0.15977700000
11_3_1_0547,176354.73748400000,0.17635500000
11_3_1_0814,16388.65653160000,0.01638870000
11_3_1_0956,26442.16827190000,0.02644220000
11_3_1_0903,55056.16033360000,0.05505620000
11_3_244_0725,434452.52126300000,0.43445300000
11_3_1_0937,366896.32456100000,0.36689600000
11_3_1_0301,395439.39108000000,0.39543900000
11_3_244_0710,410993.92033100000,0.41099400000
11_3_1_0833,121828.07940700000,0.12182800000
11_3_1_0477,217364.55987600000,0.21736500000
11_3_1_0316,327844.30184300000,0.32784400000
11_3_1_0922,709056.65607000000,0.70905700000
11_3_1_0369,1682921.56038000000,1.68292000000
11_3_1_0570,563969.15761000000,0.56396900000
11_3_1_0918,3006819.84286000000,3.00682000000
11_3_1_059A,4310.58396132000,0.00431058000
11_4_1_0775,5656.17387906000,0.00565617000
11_4_1_0760,26581.88045560000,0.02658190000
11_4_1_0756,28365.71962910000,0.02836570000
11_4_65_0811,20510.15298920000,0.02051020000
11_4_65_078A,8192.79501201000,0.00819280000
11_4_65_0794,48206.91579420000,0.04820690000
11_4_65_0807,9938.97225912000,0.00993897000
11_4_1_060A,6056.36606979000,0.00605637000
11_4_71_0703,15729.41203240000,0.01572940000
11_4_1_0351,311189.79660000000,0.31119000000
11_4_65_0224,1336605.34251000000,1.33661000000
11_4_65_0510,57326.99649030000,0.05732700000
11_4_71_0597,19065.09061080000,0.01906510000
11_4_1_0455,8677.35962266000,0.00867736000
11_4_1_021A,37588.91951650000,0.03758890000
11_4_1_0737,3548.12231153000,0.00354812000
11_4_1_0243,10377.89769350000,0.01037790000
11_4_1_0722,10396.10408780000,0.01039610000
11_4_1_0277,39001.07816640000,0.03900110000
11_4_1_0296,36868.81281560000,0.03686880000
11_4_1_0281,64146.85913980000,0.06414690000
11_4_1_0402,11324.64821630000,0.01132460000
11_4_1_046A,17348.56306630000,0.01734860000
11_4_1_0188,293005.39907900000,0.29300500000
11_4_1_0436,108948.91344900000,0.10894900000
11_4_1_0440,5179.59184089000,0.00517959000
11_4_1_0652,8239.42667106000,0.00823943000
11_4_65_0741,3930.13463023000,0.00393013000
11_4_65_0671,26134.47454240000,0.02613450000
11_4_65_053A,14047.36947900000,0.01404740000
11_4_71_0559,5361.70394815000,0.00536170000
11_4_71_0578,7826.25579600000,0.00782626000
11_4_71_0582,16499.76210310000,0.01649980000
11_4_71_0690,4615.15544695000,0.00461516000
11_4_1_0347,8385.89923950000,0.00838590000
